"id","message"
"13","Unable to parse obituary month: --"
"51","Unable to parse birth month: 19"
"188","Unable to parse death month: 95"
"204","Unable to parse birth date: February 31, 1898"
"405","Unable to parse obituary date: July 31D, 1958"
"441","Unable to parse birth month: 98"
"618","Unable to parse birth date: February 31?, 1913"
"731","Unable to parse death year: 192?"
"784","Unable to parse obituary year: 194"
"826","Unable to parse death month: 95"
"826","Unable to parse death date: 98, 1858"
"856","Unable to parse obituary month: t"
"856","Unable to parse obituary year: 28"
"886","Unable to parse obituary date: October 176, 1969"
"895","Unable to parse obituary year: 195"
"1021","Unable to parse death year: 19--"
"1055","Unable geocode birth place: Zimbar, ITALY"
"1135","Unable to parse birth date: April 31, 1847"
"1172","Unable geocode death place: 1987, 02"
"1172","Unable to parse obituary year: d"
"1247","Unable to parse obituary date: September 19D, 1996"
"1275","Unable to parse death year: 19--"
"1291","Unable to parse birth month: 96"
"1318","Unable geocode birth place: Dohnepodingbotte, GERMANY"
"1362","Unable to parse birth month: 1009"
"1386","Unable to parse death month: 95"
"1498","Unable to parse birth date: February 29, 1815"
"1504","Unable to parse birth month: 94"
"1504","Unable to parse obituary date: 94, 1889"
"1795","Unable to parse death year: 19--"
"1882","Unable to parse birth month: 22"
"1934","Unable to parse birth date: February 29, 1861"
"1947","Unable geocode birth place: Helnsbey, ENG"
"1951","Unable to parse obituary date: February 29, 1949"
"1968","Unable to parse obituary year: 04"
"2040","Unable to parse birth year: f"
"2178","Unable to parse birth date: February 30, 1904"
"2202","Unable to parse death month: 1954"
"2202","Unable to parse death year: 12"
"2202","Unable to parse birth month: m"
"2237","Unable geocode death place: 1908, 09"
"2237","Unable to parse obituary year: t"
"2457","Unable geocode birth place: Perran Zebulve, ENG"
"2587","Unable to parse birth month: l"
"2611","Unable to parse death month: 95"
"2664","Unable to parse death month: 96"
"2681","Unable to parse birth date: February 29, 1898"
"2882","Unable to parse birth date: September 31, 1921"
"2915","Unable to parse birth date: November 31, 1855"
"3166","Unable to parse birth date: February 30, 1930"
"3167","Unable to parse birth date: February 29, 1943"
"3301","Unable to parse birth month: 96"
"3317","Unable geocode birth place: N Counton, ENG"
"3390","Unable to parse obituary month: t"
"3542","Unable geocode birth place: Barreltown Settlement, WI"
"3877","Unable to parse death month: 91"
"4175","Unable to parse obituary year: 189-"
"4176","Unable to parse obituary month: t"
"4176","Unable to parse obituary year: 19"
"4480","Unable to parse birth date: February 29, 1929"
"4610","Unable to parse birth date: November 31, 1882"
"4700","Unable geocode birth place: Low Row, ENG"
"5016","Unable geocode death place: Warenfontaine, BELGIUM"
"5192","Unable to parse birth month: dec @"
"5198","Unable to parse birth month: 94"
"5400","Unable to parse birth date: February 30, 1922"
"5462","Unable to parse death year: 19??"
"5523","Unable geocode birth place: Shelligin, GERMANY"
"5681","Unable to parse death month: 30"
"5700","Unable to parse birth date: February 31, 1922"
"5802","Unable to parse birth date: June 31, 1905"
"5836","Unable to parse death year: 19??"
"5892","Unable to parse birth date: September 31, 1915"
"6060","Unable to parse birth date: February 29, 1919"
"6196","Unable to parse death year: 19??"
"6215","Unable to parse birth date: February 31, 1831"
"6219","Unable geocode birth place: Staningford, GERMANY"
"6302","Unable to parse birth year: 187?"
